phase,run_id,path,date,git_state,tracked_file_count,tracked_bytes,manifest_count,manifest_paths,version_record_count,version_paths,report_or_index_count,report_or_index_paths,retracted_marker,superseded_marker,linked_document_count,proposed_storage_class,issues,run_root
P0,e5p_405_repair_20260709_C001,phases/p0-audit/runs/e5p_405_repair_20260709_C001,20260709,tracked_record_present,129,1469537,0,,1,phases/p0-audit/runs/e5p_405_repair_20260709_C001/versions.txt,0,,no,no,0,A+D/C,missing_tracked_manifest;missing_tracked_report_or_index,phases/p0-audit/runs
P0,e5p_baseline_acmp_20260706_001813,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813,20260706,tracked_record_present,9,1010484,0,,1,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/versions.txt,1,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/val3dity/raw_acmp_val3dity_report.json,no,no,7,A+D/C,missing_tracked_manifest,phases/p0-audit/runs
P0,e5p_baseline_sparse_20260706_002300,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300,20260706,tracked_record_present,9,520953,0,,1,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/versions.txt,1,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/val3dity/raw_sparse_val3dity_report.json,no,no,7,A+D/C,missing_tracked_manifest,phases/p0-audit/runs
P0,e5p_gate_20260707_C001,phases/p0-audit/runs/e5p_gate_20260707_C001,20260707,tracked_record_present,39,306463,0,,1,phases/p0-audit/runs/e5p_gate_20260707_C001/versions.txt,0,,no,no,0,A+D/C,missing_tracked_manifest;missing_tracked_report_or_index,phases/p0-audit/runs
P0,e5p_readout_ablation_20260708_C001,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001,20260708,tracked_record_present,3,542799,0,,1,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/versions.txt,0,,no,no,0,A+D/C,missing_tracked_manifest;missing_tracked_report_or_index,phases/p0-audit/runs
P2,20260716_boundary_map,phases/p2-gsjso/runs/boundary_and_robustness/20260716_boundary_map,20260716,tracked_record_present,8,986001,2,phases/p2-gsjso/runs/boundary_and_robustness/20260716_boundary_map/mast3r_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260716_boundary_map/prepare_manifest.json,0,,0,,no,no,4,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260718_boundary_map_v2,phases/p2-gsjso/runs/boundary_and_robustness/20260718_boundary_map_v2,20260718,tracked_record_present,16,7449374,3,phases/p2-gsjso/runs/boundary_and_robustness/20260718_boundary_map_v2/crop_pair_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260718_boundary_map_v2/fm_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260718_boundary_map_v2/prepare_manifest.json,0,,0,,no,no,5,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260719_boundary_map_v3,phases/p2-gsjso/runs/boundary_and_robustness/20260719_boundary_map_v3,20260719,tracked_record_present,11,235959,2,phases/p2-gsjso/runs/boundary_and_robustness/20260719_boundary_map_v3/fm_dense_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260719_boundary_map_v3/partial_manifest.json,0,,0,,no,no,9,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260720_anchor_census,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census,20260720,tracked_record_present,8,1836602,3,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_inference_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_manifest.json;phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census/anchor_census_prepare_manifest.json,0,,0,,no,no,9,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260720_anchor_census_supplement,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census_supplement,20260720,tracked_record_present,4,177675,1,phases/p2-gsjso/runs/boundary_and_robustness/20260720_anchor_census_supplement/anchor_census_supplement_measure_manifest.json,0,,0,,no,no,3,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260721_degradation_curve,phases/p2-gsjso/runs/boundary_and_robustness/20260721_degradation_curve,20260721,tracked_record_present,4,133626,1,phases/p2-gsjso/runs/boundary_and_robustness/20260721_degradation_curve/preflight_manifest.json,0,,0,,no,no,3,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
