arm,replicate,run_name,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,15,575.1594,0.3926,0.0445
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908168,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908178,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907184,6395,582.4327,1.6880,0.1380
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,12,575.1878,0.1571,0.3934
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908168,26,627.1288,2.9707,0.9984
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908178,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907184,4680,582.6650,1.6300,0.2883
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907202,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908168,33,625.3058,7.9213,0.0100
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908178,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907184,3153,583.2587,6.6119,0.0100
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,55,582.3704,1.2912,0.0762
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908168,14,624.7398,12.2539,0.9617
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908178,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907184,2870,583.1303,6.8813,0.4123
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,25000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4907202,55,582.3776,1.2963,0.0049
